name;code
Location de vidéocassettes et disques vidéo;7722Z
Location et location-bail d'autres biens personnels et domestiques;7729Z
Location et location-bail de machines et équipements agricoles;7731Z
Location et location-bail de machines et équipements pour la construction;7732Z
Location et location-bail de machines de bureau et de matériel informatique;7733Z
Location et location-bail de matériels de transport par eau;7734Z
Location et location-bail de matériels de transport aérien;7735Z
Location et location-bail d'autres machines, équipements et biens matériels n.c.a.;7739Z
Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;7740Z
Activités des agences de placement de main-d'œuvre;7810Z
Activités des agences de travail temporaire;7820Z
Autre mise à disposition de ressources humaines;7830Z
Activités des agences de voyage;7911Z
Activités des voyagistes;7912Z
Autres services de réservation et activités connexes;7990Z
Activités de sécurité privée;8010Z
Activités liées aux systèmes de sécurité;8020Z
Activités d'enquête;8030Z
Activités combinées de soutien lié aux bâtiments;8110Z
Nettoyage courant des bâtiments;8121Z
Autres activités de nettoyage des bâtiments et nettoyage industriel;8122Z
Désinfection, désinsectisation, dératisation;8129A
Autres activités de nettoyage n.c.a.;8129B
Services d'aménagement paysager;8130Z
Services administratifs combinés de bureau;8211Z
Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;8219Z
Activités de centres d'appels;8220Z
Organisation de foires, salons professionnels et congrès;8230Z
Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;8291Z
Activités de conditionnement;8292Z
Autres activités de soutien aux entreprises n.c.a.;8299Z
Administration publique générale;8411Z
Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;8412Z
Administration publique (tutelle) des activités économiques;8413Z
Affaires étrangères;8421Z
Défense;8422Z
Justice;8423Z
Activités d'ordre public et de sécurité;8424Z
Services du feu et de secours;8425Z
Activités générales de sécurité sociale;8430A
Gestion des retraites complémentaires;8430B
Distribution sociale de revenus;8430C
Enseignement pré-primaire;8510Z
Enseignement primaire;8520Z
Enseignement secondaire général;8531Z
Enseignement secondaire technique ou professionnel;8532Z
Enseignement post-secondaire non supérieur;8541Z
Enseignement supérieur;8542Z
Enseignement de disciplines sportives et d'activités de loisirs;8551Z
Enseignement culturel;8552Z
Enseignement de la conduite;8553Z
Formation continue d'adultes;8559A
Autres enseignements;8559B
Activités de soutien à l'enseignement;8560Z
Activités hospitalières;8610Z
Activité des médecins généralistes;8621Z
Activités de radiodiagnostic et de radiothérapie;8622A
Activités chirurgicales;8622B
Autres activités des médecins spécialistes;8622C
Pratique dentaire;8623Z
Ambulances;8690A
Laboratoires d'analyses médicales;8690B
Centres de collecte et banques d'organes;8690C
Activités des infirmiers et des sages-femmes;8690D
Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues;8690E
Activités de santé humaine non classées ailleurs;8690 F
Hébergement médicalisé pour personnes âgées;8710A
Hébergement médicalisé pour enfants handicapés;8710B
Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé;8710C
Hébergement social pour handicapés mentaux et malades mentaux;8720A
Hébergement social pour toxicomanes;8720B
Hébergement social pour personnes âgées;8730A
Hébergement social pour handicapés physiques;8730B
Hébergement social pour enfants en difficultés;8790A
Hébergement social pour adultes et familles en difficultés et autre hébergement social;8790B
Aide à domicile;8810A
Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées;8810B
Aide par le travail;8810C
Accueil de jeunes enfants;8891A
Accueil ou accompagnement sans hébergement d'enfants handicapés;8891B
Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents;8899A
Action sociale sans hébergement n.c.a.;8899B
Arts du spectacle vivant;9001Z
Activités de soutien au spectacle vivant;9002Z
Création artistique relevant des arts plastiques;9003A
Autre création artistique;9003B
Gestion de salles de spectacles;9004Z
Gestion des bibliothèques et des archives;9101Z
Gestion des musées;9102Z
Gestion des sites et monuments historiques et des attractions touristiques similaires;9103Z
Gestion des jardins botaniques et zoologiques et des réserves naturelles;9104Z
Organisation de jeux de hasard et d'argent;9200Z
Gestion d'installations sportives;9311Z
Activités de clubs de sports;9312Z
Activités des centres de culture physique;9313Z
Autres activités liées au sport;9319Z
Activités des parcs d'attractions et parcs à thèmes;9321Z
Autres activités récréatives et de loisirs;9329Z
Activités des organisations patronales et consulaires;9411Z
Activités des organisations professionnelles;9412Z
Activités des syndicats de salariés;9420Z
Activités des organisations religieuses;9491Z
Activités des organisations politiques;9492Z
Autres organisations fonctionnant par adhésion volontaire;9499Z
Réparation d'ordinateurs et d'équipements périphériques;9511Z
Réparation d'équipements de communication;9512Z
Réparation de produits électroniques grand public;9521Z
Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;9522Z
Réparation de chaussures et d'articles en cuir;9523Z
Réparation de meubles et d'équipements du foyer;9524Z
Réparation d'articles d'horlogerie et de bijouterie;9525Z
Réparation d'autres biens personnels et domestiques;9529Z
Blanchisserie-teinturerie de gros;9601A
Blanchisserie-teinturerie de détail;9601B
Coiffure;9602A
Soins de beauté;9602B
Services funéraires;9603Z
Entretien corporel;9604Z
Autres services personnels n.c.a.;9609Z
Activités des ménages en tant qu'employeurs de personnel domestique;9700Z
Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;9810Z
Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;9820Z
Activités des organisations et organismes extraterritoriaux;9900Z
